id,family_id,parent_id,name,bookkeeping,level,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
3adt1234,afro1255,nort3292,3Ad-Tekles,False,dialect,,,,,,0,0,0,
aala1237,aust1307,ramo1244,Aalawa,False,dialect,,,,,,0,0,0,
aant1238,nucl1709,nort2920,Aantantara,False,dialect,,,,,,0,0,0,
aari1238,sout2845,ahkk1235,Aari-Gayil,False,family,,,aiz,,,0,2,0,
aari1239,sout2845,aari1238,Aari,False,language,5.95034,36.5721,aiw,,,0,0,0,ET
aari1240,book1242,book1242,Aariya,True,language,,,aay,,,0,0,0,IN
aasa1238,afro1255,sout3054,Aasax,False,language,-4.00679,36.8648,aas,,,0,0,0,TZ
aasd1234,indo1319,ferr1240,Aasdring,False,dialect,,,,,,0,0,0,
aata1238,nucl1709,sout2943,Aatasaara,False,dialect,,,,,,0,0,0,
abaa1238,sino1245,nort3305,Rngaba,False,dialect,,,,,,0,0,0,
abab1239,afro1255,beja1238,Ababda,False,dialect,,,,,,0,0,0,
abab1240,atla1278,ngom1276,Ababuan,False,family,,,,,,12,21,31,
abad1240,abkh1242,adyg1241,Abadzex,False,dialect,,,,,,0,0,0,
abad1241,aust1307,west2850,Abadi,False,language,-9.03389,146.992,kbt,,,0,0,0,PG
abad1242,indo1319,fars1256,Abadei,False,dialect,,,,,,0,0,0,
abad1243,indo1319,khuz1234,Abadani,False,dialect,,,,,,0,0,0,
abag1245,nucl1709,unun9976,Abaga,False,language,-6.12028,145.665,abg,,,0,0,0,PG
abai1239,aust1307,lund1271,Abai,False,dialect,,,,,,0,0,0,
abai1240,aust1307,pait1248,Abai Sungai,False,language,5.55394,118.306,abf,,,0,0,0,MY
abai1241,aust1307,muru1275,Abai Tubu-Abai Sembuak,False,language,3.524226,116.162455,,,,0,0,0,ID
abaj1234,indo1319,mexi1248,Abajeño Mexican Spanish,False,dialect,,,,,,0,0,0,
abak1242,atla1278,anaa1238,Abak,False,dialect,,,,,,0,0,0,
abak1243,aust1307,ilon1239,Abaka,False,dialect,,,,,,0,0,0,
abal1238,yele1255,yele1255,Abaletti,False,dialect,,,,,,0,0,0,
abam1239,east2503,wipi1242,Abam,False,dialect,,,,,,0,0,0,
aban1242,atla1278,aban1245,Abanyom,False,language,6.30619,8.63055,abm,,,0,0,0,NG
aban1243,quec1387,east2551,Abancay,False,dialect,,,,,,0,0,0,
aban1245,atla1278,nort3374,Abanyom-Nkem-Nkum,False,family,,,,,,0,2,2,
abar1238,atla1278,yemn1234,Mungbam,False,language,6.5805,10.2267,mij,,,0,0,6,CM
abar1239,atla1278,mung1275,Abar,False,dialect,,,,,,0,0,0,
abau1245,sepi1257,sepi1257,Abau,False,language,-3.97222,141.324,aau,,,0,0,0,PG
abaw1238,atla1278,gupa1248,Abawa,False,dialect,,,,,,0,0,0,
abay1238,atla1278,agwa1247,Abayongo,False,dialect,,,,,,0,0,0,
abaz1241,abkh1242,abkh1243,Abaza,False,language,44.25,42.0,abq,,,0,0,3,RU TR
abbe1238,atla1278,abee1242,Abbey-Ve,False,dialect,,,,,,0,0,0,
abbr1238,indo1319,sout3309,Abbruzzesi,False,dialect,,,,,,0,0,0,
abch1234,indo1319,nayi1242,Abchuya'i,False,dialect,,,,,,0,0,0,
abda1238,afro1255,soqo1240,'Abd Al-Kuri,False,dialect,12.1959,52.2282,,,,0,0,0,YE
abed1238,cent2225,lugb1240,Abedju-Azaki,False,dialect,,,,,,0,0,0,
abee1242,atla1278,agne1238,Abé,False,language,5.59682,-4.38497,aba,,,0,0,4,CI
abee1243,atla1278,anyi1245,Abe (Anyin),False,dialect,,,,,,0,0,0,
abel1234,aust1307,samb1319,Abellen-Botolan,False,family,,,,,,0,2,2,
aben1247,sino1245,garo1247,Abeng,False,dialect,,,,,,0,0,0,
aben1248,sino1245,garo1247,A'beng,False,dialect,,,,,,0,0,0,
aben1249,aust1307,abel1234,Abenlen Ayta,False,language,15.4131,120.2,abp,,,0,0,0,PH
aben1250,algi1248,east2700,Abenaki,False,family,,,,,,0,2,1,
abgu1238,afro1255,birg1239,Abgue,False,dialect,,,,,,0,0,0,
abid1235,atla1278,agne1238,Abidji,False,language,5.65656,-4.58421,abi,,,0,0,2,CI
abie1238,nilo1247,sout2832,Abiem,False,dialect,,,,,,0,0,0,
abig1238,nilo1247,nuer1246,Abigar,False,dialect,,,,,,0,0,0,
abil1238,nilo1247,nort2815,Abiliang,False,dialect,,,,,,0,0,0,
abin1242,atla1278,agwa1247,Abini,False,dialect,,,,,,0,0,0,
